id,name,image,affinity,skill,description,dlc
aow-31,Ash of War: Golden Vow,/items/ashes/aow-31.png,Sacred,Golden Vow,"This Ash of War grants an armament the Sacred affinity and the following skill: ""Golden Vow: Skill passed down from antiquity among the knights of the capital. Raise armament aloft and pledge to honor the Erdtree in battle, granting self and nearby allies increased attack power and defense."" Usable on all melee armaments.",0
aow-32,Ash of War: Sacred Blade,/items/ashes/aow-32.png,Sacred,Sacred Blade,"This Ash of War grants an armament the Sacred affinity and the following skill: ""Sacred Blade: Grants armament's attacks holy essence and fires off a golden blade projectile. The armament retains its holy essence for a while."" Usable on melee armaments (whips, fists, and claws excepted).",0
aow-33,Ash of War: Stamp (Upward Cut),/items/ashes/aow-33.png,Heavy,Stamp (Upward Cut),"This Ash of War grants an armament the Heavy affinity and the following skill: ""Stamp (Upward Cut): Brace armament and step into a low stance that prevents recoil from most enemy attacks. Follow up with a strong attack for an upward strike."" Usable on swords, axes, and hammers (small and medium swords excepted).",0
aow-34,Ash of War: Kick,/items/ashes/aow-34.png,Heavy,Kick,"This Ash of War grants an armament the Heavy affinity and the following skill: ""Kick: Push an enemy back with a high kick. Effective against enemies who are guarding, and can break a foe's stance. Sometimes a simple tool is the most effective."" Usable on all melee armaments.",0
aow-35,Ash of War: Endure,/items/ashes/aow-35.png,Heavy,Endure,"This Ash of War grants an armament the Heavy affinity and the following skill: ""Endure: Assume an anchored stance to brace for incoming attacks, briefly boosting poise. Damage taken while using this skill is reduced."" Usable on all melee armaments.",0
aow-36,Ash of War: War Cry,/items/ashes/aow-36.png,Heavy,War Cry,"This Ash of War grants an armament the Heavy affinity and the following skill: ""War Cry: Give a war cry to rally the spirit and increase attack power. While active, strong attacks change to charging attacks."" Usable on melee armaments (daggers, thrusting swords, and whips excepted).",0
aow-37,Ash of War: Spinning Slash,/items/ashes/aow-37.png,Keen,Spinning Slash,"This Ash of War grants an armament the Keen affinity and the following skill: ""Spinning Slash: Skill favored by dexterous warriors. Slash foes as your body spins. Additional input allows for a follow-up attack."" Usable on swords, axes, and polearms (colossal weapons excepted).",0
aow-38,Ash of War: Impaling Thrust,/items/ashes/aow-38.png,Keen,Impaling Thrust,"This Ash of War grants an armament the Keen affinity and the following skill: ""Impaling Thrust: Skill that lets piercing armaments overcome enemy shields. Build power, then lunge forward for a strong thrust that pierces an enemy's guard."" Usable on armaments capable of thrusting (colossal weapons excepted).",0
aow-39,Ash of War: Quickstep,/items/ashes/aow-39.png,Keen,Quickstep,"This Ash of War grants an armament the Keen affinity and the following skill: ""Quickstep: Skill prized by the crafty and fleet of foot. Perform a quickstep maneuver that allows for circling around lock-on targets."" Usable on all melee armaments. sideways",0
aow-40,Ash of War: Storm Blade,/items/ashes/aow-40.png,Quality,Storm Blade,"This Ash of War grants an armament the Quality affinity and the following skill: ""Storm Blade: Lost skill of Stormveil. Surround armament with shearing storm winds that can be fired forward. Can be fired in rapid succession."" Usable on swords (colossal weapons and twinblades excepted).",0
aow-41,Ash of War: Parry,/items/ashes/aow-41.png,Standard,Parry Skill,"This Ash of War grants no affinity to an armament, but imparts the following skill: ""Parry: Use this skill in time with a foe's melee attack to deflect it and break that foe's stance. This provides an opening to perform a critical hit."" Usable on daggers, curved swords, thrusting swords, fists, claws, and small and medium shields.",0
aow-42,Ash of War: No Skill,/items/ashes/aow-42.png,Standard,No Skill,"This Ash of War grants no affinity to an armament and replaces any skill present with the following: ""No Skill: This armament has no skill. If the armament in the other hand has a skill, that skill will be used instead."" Usable on shields and torches.",0
aow-43,Ash of War: Glintstone Pebble,/items/ashes/aow-43.png,Magic,Glintstone Pebble Skill,"This Ash of War grants an armament the Magic affinity and the following skill: ""Glintstone Pebble: Skill that employs the glintstone sorcery of the same name. Follow up with a strong attack to chain this skill into a lunging thrust, performed while the armament is still imbued with glintstone."" Usable on swords as well as polearms capable of thrusting (colossal weapons excepted).",0
aow-44,Ash of War: Spinning Weapon,/items/ashes/aow-44.png,Magic,Spinning Weapon,"This Ash of War grants an armament the Magic affinity and the following skill: ""Spinning Weapon: Defensive skill employed by Carian princesses. Lifts armament into mid-air, then makes it spin violently. Those it touches will suffer successive attacks."" Usable on small and medium swords, axes, and hammers, as well as polearms and staves (great spears excepted).",0
aow-45,Ash of War: Wild Strikes,/items/ashes/aow-45.png,Heavy,Wild Strikes,"This Ash of War grants an armament the Heavy affinity and the following skill: ""Wild Strikes: Swing armament with wild abandon. Hold to continue swinging. Can be followed up with a normal or strong attack."" Usable on axes and hammers as well as curved swords and greatswords (colossal weapons excepted).",0
aow-46,Ash of War: Storm Wall,/items/ashes/aow-46.png,Standard,Storm Wall,"This Ash of War grants no affinity to an armament, but imparts the following skill: ""Storm Wall: Swing the shield to create a wall of storm winds in front of you, deflecting arrows and other such physical projectiles. Can also be used in the same way as a regular parry."" Usable on small and medium shields.",0
aow-47,Ash of War: Bloody Slash,/items/ashes/aow-47.png,Blood,Bloody Slash,"This Ash of War grants an armament the Blood affinity and the following skill: ""Bloody Slash: Blood Oath skill granted by the Lord of Blood. From a low stance, coat the blade in your own blood to unleash a rending blood slash in a wide arc."" Usable on swords (colossal weapons excepted).",0
aow-48,Ash of War: Ground Slam,/items/ashes/aow-48.png,Heavy,Ground Slam,"This Ash of War grants an armament the Heavy affinity and the following skill: ""Ground Slam: Jump up high into the air and crash down on the ground ahead. The resulting pratfall sends a powerful shockwave in all directions."" Usable on all melee armaments.",0
aow-49,Ash of War: Spectral Lance,/items/ashes/aow-49.png,Occult,Spectral Lance,"This Ash of War grants an armament the Occult affinity and the following skill: ""Spectral Lance: Skill of the headless Mausoleum Knights. Hurl a phantasmic spear at foes."" Usable on polearms (reapers not included).",0
aow-50,Ash of War: Charge Forth,/items/ashes/aow-50.png,Quality,Charge Forth,"This Ash of War grants an armament the Quality affinity and the following skill: ""Charge Forth: Quickly charge forward with the armament at the hip, carrying the momentum into a thrust. Hold to cover a greater distance."" Usable on polearms capable of thrusting, heavy thrusting swords, and twinblades.",0
aow-51,Ash of War: Square Off,/items/ashes/aow-51.png,Quality,Square Off,"This Ash of War grants an armament the Quality affinity and the following skill: ""Square Off: This skill starts with the sword held level. Follow up with a normal attack to slash upwards through enemy's guard, or a strong attack to perform a running thrust."" Usable on straight swords.",0
aow-52,Ash of War: Sacred Order,/items/ashes/aow-52.png,Sacred,Sacred Order,"This Ash of War grants an armament the Sacred affinity and the following skill: ""Sacred Order: Skill of the Golden Order fundamentalist knights. Perform a salute and grant the armament holy essence. Highly effective against Those Who Live in Death."" Usable on all melee armaments.",0
aow-53,Ash of War: Lifesteal Fist,/items/ashes/aow-53.png,Occult,Lifesteal Fist,"This Ash of War grants an armament the Occult affinity and the following skill: ""Lifesteal Fist: Skill that demonstrates mastery of the art of controlling vital energies. A slow, controlled punch with an energy-infused fist that renders foes unconscious and steals their HP. Only effective against foes of human build."" Usable on fists and claws.",0
aow-54,Ash of War: Barrage,/items/ashes/aow-54.png,Standard,Barrage,"This Ash of War grants no affinity to an armament, but imparts the following skill: ""Barrage: Archery skill using a bow held horizontally. Ready the bow, then fire off a rapid succession of shots faster than the eye can see."" Usable on light bows.",0
aow-55,Ash of War: Prayerful Strike,/items/ashes/aow-55.png,Sacred,Prayerful Strike,"This Ash of War grants an armament the Sacred affinity and the following skill: ""Prayerful Strike: Raise armament aloft in prayer, then slam it into the ground. This inspired blow restores HP to the self and nearby allies if it successfully hits."" Usable on axes and hammers.",0
aow-56,Ash of War: Lightning Slash,/items/ashes/aow-56.png,Lightning,Lightning Slash,"This Ash of War grants an armament the Lightning affinity and the following skill: ""Lightning Slash: Call down a bolt of lightning into armament, then swing it down to create an explosive shock. The armament retains the lightning enchantment for a while."" Usable on swords, axes, and hammers.",0
aow-57,Ash of War: Giant Hunt,/items/ashes/aow-57.png,Quality,Giant Hunt,"This Ash of War grants an armament the Quality affinity and the following skill: ""Giant Hunt: Skill developed for confronting gigantic foes. Step forward from a low stance, carrying the momentum into a sudden upward thrust."" Usable on large and colossal weapons capable of thrusting, spears, and twinblades.",0
aow-58,Ash of War: Sword Dance,/items/ashes/aow-58.png,Keen,Sword Dance,"This Ash of War grants an armament the Keen affinity and the following skill: ""Sword Dance: Quickly close in to perform a series of spinning upward slashes. Follow up with an additional input to finish with a downward slash."" Usable on swords, axes, and polearms capable of slashing (colossal weapons and great spears excepted).",0
aow-59,Ash of War: Vow of the Indomitable,/items/ashes/aow-59.png,Sacred,Vow of the Indomitable,"This Ash of War grants an armament the Sacred affinity and the following skill: ""Vow of the Indomitable: Skill of the ancient warriors of the Erdtree. Hold shield aloft to imbue yourself with golden power, granting momentary invincibility."" Usable on all shields.",0
aow-60,Ash of War: Beast's Roar,/items/ashes/aow-60.png,Keen,Beast's Roar,"This Ash of War grants an armament the Keen affinity and the following skill: ""Beast's Roar: Unleash a beastly roar, rending the air as a forward-traveling projectile."" Usable on all melee armaments.",0
aow-61,Ash of War: Carian Grandeur,/items/ashes/aow-61.png,Magic,Carian Grandeur,"This Ash of War grants an armament the Magic affinity and the following skill: ""Carian Grandeur: Carian royal prestige embodied in a skill. Transform blade into a magical greatsword and swing it down. Can be charged to increase its power by up to two levels."" Usable on swords (colossal weapons excepted).",0
aow-62,Ash of War: Loretta's Slash,/items/ashes/aow-62.png,Magic,Loretta's Slash,"This Ash of War grants an armament the Magic affinity and the following skill: ""Loretta's Slash: Skill of Loretta the Royal Knight. Leap forward, imbuing the blade with glintstone, then descend, accelerating into a sweeping slash."" Usable on polearms and twinblades.",0
aow-63,Ash of War: Hoarfrost Stomp,/items/ashes/aow-63.png,Cold,Hoarfrost Stomp,"This Ash of War grants an armament the Cold affinity and the following skill: ""Hoarfrost Stomp: Stomp hard to spread a trail of freezing mist on the ground. The mist applies the frost status effect."" Usable on all melee armaments.",0
aow-64,Ash of War: Thops's Barrier,/items/ashes/aow-64.png,Magic,Thops's Barrier,"This is the page for the Ash of War: Thop's Barrier. Click here for the sorcery Thops's Barrier (Spell) This Ash of War grants an armament the Magic affinity and the following skill: ""Thops's Barrier: Erect a magical forcefield while swinging the shield to deflect sorceries and incantations. Can also be used in the same way as a regular parry."" Usable on small and medium shields.",0
aow-65,Ash of War: Chilling Mist,/items/ashes/aow-65.png,Cold,Chilling Mist,"This Ash of War grants an armament the Cold affinity and the following skill: ""Chilling Mist: Coat armament in frost, and then slash, spreading frigid mist forwards. The armament retains its frost for a while."" Usable on melee armaments (whips, fists, and claws excepted).",0
aow-66,Ash of War: Lightning Ram,/items/ashes/aow-66.png,Lightning,Lightning Ram,"This Ash of War grants an armament the Lightning affinity and the following skill: ""Lightning Ram: Skill inspired by tumbling rams. Let out a bleat, then tumble forwards, clad in lightning. Tumbles can be repeated in rapid succession."" Usable on all melee armaments.",0
aow-67,Ash of War: Lion's Claw,/items/ashes/aow-67.png,Heavy,Lion's Claw,"This Ash of War grants an armament the Heavy affinity and the following skill: ""Lion's Claw: Skill of the Redmanes, who fought alongside General Radahn. Somersault forwards, striking foes with armament."" Usable on swords, axes, and hammers (small armaments and thrusting swords not included).",0
aow-68,Ash of War: Flaming Strike,/items/ashes/aow-68.png,Fire,Flaming Strike,"This Ash of War grants an armament the Fire affinity and the following skill: ""Flaming Strike: Skill that emits flame in a wide frontward arc. Follow up with a strong attack to perform a lunging, sweeping strike. This will also coat the armament in fire."" Usable on melee armaments (colossal weapons and whips excepted).",0
aow-69,Ash of War: Determination,/items/ashes/aow-69.png,Quality,Determination,"This Ash of War grants an armament the Quality affinity and the following skill: ""Determination: A knightly skill. Hold the flat of the armament to your face and pledge your resolve, powering up your next attack."" Usable on all melee armaments.",0
aow-70,Lost Ashes of War,/items/ashes/aow-70.png,None,Used to duplicate Ashes of War,"Empty ashes of war, devoid of any memories of battle. Unable to apply any kind of affinity in their current state, but can be used by Smithing Master Hewg of the Roundtable Hold to recreate other ashes. Thus does the copy pass into becoming the genuine article.",0
aow-71,Ash of War: Glintblade Phalanx,/items/ashes/aow-71.png,Magic,Glintblade Phalanx,"This Ash of War grants an armament the Magic affinity and the following skill: ""Glintblade Phalanx: Skill used by the enchanted knights who served the Carian royal family. Form an arch of magic glintblades overhead, which will attack foes automatically. Follow up with a strong attack to chain this skill into a lunging thrust."" Usable on swords as well as polearms capable of thrusting (colossal weapons excepted).",0
aow-72,Ash of War: Poison Moth Flight,/items/ashes/aow-72.png,Poison,Poison Moth Flight,"This Ash of War grants an armament the Poison affinity and the following skill: ""Poison Moth Flight: Slash with a poison-infused blade. If the follow-up strike lands on a poisoned foe, it will deal significant damage."" Usable on small and medium swords (twinblades excepted).",0
aow-73,Ash of War: Poisonous Mist,/items/ashes/aow-73.png,Poison,Poisonous Mist,"This Ash of War grants an armament the Poison affinity and the following skill: ""Poisonous Mist: Bathe armament in poison, and then slash, spreading toxic mist forwards. The armament retains its poison for a while."" Usable on melee armaments (whips, fists, and claws excepted).",0
aow-74,Ash of War: Sacred Ring of Light,/items/ashes/aow-74.png,Sacred,Sacred Ring of Light,"This Ash of War grants an armament the Sacred affinity and the following skill: ""Sacred Ring of Light: Skill used by the commanders of the Cleanrot Knights. Gather a sacred ring of light in the armament, and then fire it forwards. Can be fired in rapid succession."" Usable on polearms (great spears excepted).",0
aow-75,Ash of War: Eruption,/items/ashes/aow-75.png,Fire,Eruption,"This Ash of War grants an armament the Fire affinity and the following skill: ""Eruption: Skill of the knights who serve at Volcano Manor. Slam armament into the ground, spawning roiling lava which spouts up upon release."" Usable on large and colossal swords, axes, and hammers.",0
aow-76,Ash of War: Assassin's Gambit,/items/ashes/aow-76.png,Occult,Assassin's Gambit,"This Ash of War grants an armament the Occult affinity and the following skill: ""Assassin's Gambit: Skill that masks the user's presence at the cost of a self-inflicted wound. Grants near-invisibility and silences footsteps."" Usable on small and medium straight swords and thrusting swords.",0
aow-77,Ash of War: Seppuku,/items/ashes/aow-77.png,Blood,Seppuku,"This Ash of War grants an armament the Blood and the following skill: ""Seppuku: A forbidden technique used by swordsmen from the Land of Reeds. Plunge the blade into your stomach to stain it with blood. Increases attack power and improves ability to inflict blood loss."" Usable on swords as well as polearms capable of thrusting (small and colossal weapons not included).",0
aow-78,Ash of War: Black Flame Tornado,/items/ashes/aow-78.png,Flame Art,Black Flame Tornado,"This Ash of War grants an armament the Flame affinity and the following skill: ""Black Flame Tornado: Spin armament overhead and then plunge it into the ground to summon a raging vortex of black flames. Hold to create an initial flame tornado while spinning the armament."" Usable on polearms and twinblades.",0
aow-79,Ash of War: Hoarah Loux's Earthshaker,/items/ashes/aow-79.png,Heavy,Hoarah Loux's Earthshaker,"This Ash of War grants an armament the Heavy and the following skill: ""Hoarah Loux's Earthshaker: Slam both hands onto the ground to violently shake the earth and unleash a shockwave. Follow up with an additional input to slam the ground again."" Usable on all melee armaments.",0
aow-80,Ash of War: Enchanted Shot,/items/ashes/aow-80.png,Standard,Enchanted Shot,"This ash of war grants no affinity to an armament, but imparts the following skill: ""Enchanted Shot: Archery skill that enlivens the arrow with spiritual essence. The resulting shot will fly faster than regular shots and change its trajectory to follow the target."" Usable on light bows and longbows.",0
aow-81,Ash of War: Barricade Shield,/items/ashes/aow-81.png,Standard,Barricade Shield,"This Ash of War grants no affinity to an armament, but imparts the following skill: ""Barricade Shield: Skill made famous by Sir Neidhardt. Focus your energy into the shield, temporarily hardening it to deflect greater blows."" Usable on all shields.",0
aow-82,Ash of War: Golden Land,/items/ashes/aow-82.png,Sacred,Golden Land,"This Ash of War grants an armament the Sacred affinity and the following skill: ""Golden Land: Thrust armament into the ground, then gather strength to unleash a blast of sacred energy that coalesces into golden darts. Follow up with a strong attack to swing the armament in a sweeping strike."" Usable on greataxes, warhammers, and colossal weapons.",0
aow-83,Ash of War: Carian Retaliation,/items/ashes/aow-83.png,Magic,Carian Retaliation,"This Ash of War grants an armament the Magic affinity and the following skill: ""Carian Retaliation: Swing the shield to dispel incoming sorceries and incantations, transforming the magic into retaliatory glintblades. Can also be used in the same way as a regular parry."" Usable on small and medium shields.",0
aow-84,Ash of War: Waves of Darkness,/items/ashes/aow-84.png,Magic,Waves of Darkness,"This Ash of War grants an armament the Magic affinity and the following skill: ""Waves of Darkness: Plunge armament into the ground to release three waves of darkness. Follow up with a strong attack to swing the armament in a sweeping strike."" Usable on greataxes, warhammers, and colossal weapons.",0
aow-85,Ash of War: Ice Spear,/items/ashes/aow-85.png,Cold,Ice Spear,"This Ash of War grants an armament the Cold affinity and the following skill: ""Ice Spear: Skill of the warriors who served Lunar Princess Ranni. Spin armament to release cold magic, then channel it into a piercing spear of ice."" Usable on polearms capable of thrusting and twinblades.",0
aow-86,Ash of War: Double Slash,/items/ashes/aow-86.png,Keen,Double Slash,"This Ash of War grants an armament the Keen affinity and the following skill: ""Double Slash: Skill of superior swordsmen. Perform a crossing slash attack from a low stance. Repeated inputs allow for up to two follow-up attacks."" Usable on swords and polearms capable of slashing (colossal weapons excepted).",0
aow-87,Ash of War: Vacuum Slice,/items/ashes/aow-87.png,Quality,Vacuum Slice,"This Ash of War grants an armament the Quality affinity and the following skill: ""Vacuum Slice: Lost skill of ancient heroes. Hold the armament aloft to surround it with a shearing vacuum, then launch it forwards as a blade-like projectile."" Usable on swords and axes (colossal axes excepted).",0
aow-88,Ash of War: Stormcaller,/items/ashes/aow-88.png,Quality,Stormcaller,"This Ash of War grants an armament the Quality affinity and the following skill: ""Stormcaller: One of the skills that channel the tempests of Stormveil. Spin armament to create surrounding storm winds. Repeated inputs allow for up to two follow-up attacks."" Usable on swords capable of slashing, axes, hammers, and polearms (small and colossal weapons excepted).",0
aow-89,Ash of War: Piercing Fang,/items/ashes/aow-89.png,Keen,Piercing Fang,"This Ash of War grants an armament the Keen affinity and the following skill: ""Piercing Fang: Skill used by Yura, the Bloody Finger Hunter. Starting with the blade held horizontally, make a powerful thrust that cannot be blocked."" Usable on medium and large armaments capable of thrusting.",0
aow-90,Ash of War: Blood Tax,/items/ashes/aow-90.png,Blood,Blood Tax,"This Ash of War grants an armament the Blood affinity and the following skill: ""Blood Tax: Blood Oath skill granted by the Lord of Blood. Twist to build power, then unleash a flurry of thrusts that rob the target of both their blood and their HP."" Usable on armaments capable of thrusting (colossal weapons excepted). every",0
aow-91,Ash of War: Spinning Strikes,/items/ashes/aow-91.png,Quality,Spinning Strikes,"This Ash of War grants an armament the Quality affinity and the following skill: ""Spinning Strikes: Polearm skill that performs continuous spinning attacks. Hold to continue the attack. Can be followed up with a normal or strong attack. Nullifies projectiles such as arrows while spinning."" Usable on polearms (great spears excepted).",0
aow-92,Ash of War: Prelate's Charge,/items/ashes/aow-92.png,Flame,Prelate's Charge,"This Ash of War grants an armament the Flame affinity and the following skill: ""Prelate's Charge: Slam armament into the ground to create a surge of flames, then charge in. Hold to continue the charge."" Usable on large and colossal axes and hammers.",0
aow-93,Ash of War: Storm Assault,/items/ashes/aow-93.png,Quality,Storm Assault,"This Ash of War grants an armament the Quality affinity and the following skill: ""Storm Assault: One of the skills that channel the tempests of Stormveil. Leap forward through surrounding storm winds and thrust armament downward. The attack will produce more storm winds at the point of impact."" Usable on polearms capable of thrusting, heavy thrusting swords, and twinblades.",0
aow-94,Ash of War: Earthshaker,/items/ashes/aow-94.png,Heavy,Earthshaker,"This Ash of War grants an armament the Heavy affinity and the following skill: ""Earthshaker: Thrust armament into the ground, then gather strength to unleash an earth-shaking shockwave. Follow up with a strong attack to swing the armament in a sweeping strike."" Usable on greataxes, warhammers, and colossal weapons.",0
aow-95,Ash of War: Thunderbolt,/items/ashes/aow-95.png,Lightning,Thunderbolt,"This Ash of War grants an armament the Lightning affinity and the following skill: ""Thunderbolt: Skill used by the capital's ancient dragon cult. Raise armament aloft to call down a bolt of lightning. Can be fired in rapid succession."" Usable on all melee armaments.",0
aow-96,Ash of War: Carian Greatsword,/items/ashes/aow-96.png,Magic,Carian Greatsword (Skill),"This Ash of War grants an armament the Magic affinity and the following skill: ""Carian Greatsword: Carian royal prestige embodied in a skill. Transform blade into a magical greatsword and swing it down. Can be charged to increase its power."" Usable on swords (colossal weapons excepted).",0
aow-97,Ash of War: Royal Knight's Resolve,/items/ashes/aow-97.png,Quality,Royal Knight's Resolve,"This Ash of War grants an armament the Quality affinity and the following skill: ""Royal Knight's Resolve: Skill of the knights who once served the Elden Lord. Hold the flat of the armament to your face and pledge your resolve, greatly powering up your next attack."" Usable on all melee armaments. ""Patch 1.03 - Fixed a bug with the Ash of War, Determination and Royal Knight's Resolve, where the damage buff will also apply to other weapons without that skill."" ""Patch 1.06 : Fixed a bug which caused the effect to disappear after using the Parry skill with a Dagger.""",0
aow-98,Ash of War: Blood Blade,/items/ashes/aow-98.png,Blood,Blood Blade,"This Ash of War grants an armament the Blood affinity and the following skill: ""Blood Blade: Wound self to coat the armament with blood, then unleash an airborne blood blade that causes hemorrhaging. Can be fired in rapid succession."" Usable on small and medium swords.",0
aow-99,Ash of War: Phantom Slash,/items/ashes/aow-99.png,Quality,Phantom Slash,"This Ash of War grants an armament the Quality affinity and the following skill: ""Phantom Slash: Skill inspired by the fond remembrances of the Night's Cavalry. Creates an apparition of the knights' former instructor who guides a joint lunging upward swing. Additional input allows for a follow-up attack."" Usable on polearms and twinblades (great spears excepted).",0
aow-100,Ash of War: Shield Bash,/items/ashes/aow-100.png,Standard,Shield Bash,"This Ash of War grants no affinity to an armament, but imparts the following skill: ""Shield Bash: Brace behind shield before using bodyweight to ram foes while maintaining guarding stance. Weaker enemies will be shoved backwards, and can even be staggered."" Usable on all shields.",0
aow-101,Ash of War: Golden Parry,/items/ashes/aow-101.png,Sacred,Golden Parry,"This Ash of War grants an armament the Sacred affinity and the following skill: ""Golden Parry: Perform an Erdtree incantation and swing the shield to deflect enemy attacks and break their stance. Effective even at a slight distance."" Usable on small and medium shields.",0
